"id","property class","acreage", "value", "orig val data"
428.16-2-30.2 ,210 1 Family Res,0.50,"210,000","FULL MARKET VALUE 210,000\r"
428.16-2-31.1 ,210 1 Family Res,0.30,"195,000","FULL MARKET VALUE 195,000\r"
428.16-2-31.2 ,210 1 Family Res,null,"80,000","FULL MARKET VALUE 80,000\r"
428.16-2-32 ,210 1 Family Res,0.25,"175,000","FULL MARKET VALUE 175,000\r"
428.16-2-33 ,210 1 Family Res,0.25,"190,000","FULL MARKET VALUE 190,000\r"
428.16-2-34 ,210 1 Family Res,0.33,"110,000","FULL MARKET VALUE 110,000\r"
428.16-2-35 ,210 1 Family Res,0.33,"165,000","FULL MARKET VALUE 165,000\r"
428.16-2-36 ,210 1 Family Res,0.13,"149,000","FULL MARKET VALUE 149,000\r"
428.16-2-37 ,210 1 Family Res,0.13,"145,000","FULL MARKET VALUE 145,000\r"
428.16-2-38 ,210 1 Family Res,1.50,"310,000","FULL MARKET VALUE 310,000\r"
428.19-1-2 ,null,2.22,"200,000","FULL MARKET VALUE 200,000\r"
428.19-1-3.1 ,210 1 Family Res,null,"30,000","FULL MARKET VALUE 30,000 AD115 Hancock Ambulance 3,000 TO\r"
428.19-1-3.2 ,210 1 Family Res,null,"30,000","FULL MARKET VALUE 30,000\r"
428.19-1-4 ,210 1 Family Res,null,"155,000","FULL MARKET VALUE 155,000\r"
428.19-1-5 ,323 Vacant rural,0.30,"2,000","FULL MARKET VALUE 2,000\r"
428.20-1-2.1 ,null,0.75,"330,000","FULL MARKET VALUE 330,000\r"
428.20-1-3.1 ,210 1 Family Res,0.50,"75,000","FULL MARKET VALUE 75,000\r"
428.20-1-3.2 ,null,1.75,"30,000","FULL MARKET VALUE 30,000\r"
428.20-1-4 ,null,0.25,"235,000","FULL MARKET VALUE 235,000\r"
428.20-1-7.1 ,null,2.40,"1100,000","FULL MARKET VALUE 1100,000\r"
428.20-1-7.2 ,null,0.28,"25,000","FULL MARKET VALUE 25,000\r"
428.20-1-8 ,null,null,"25,000","FULL MARKET VALUE 25,000\r"
428.20-1-9 ,null,0.62,"395,000","FULL MARKET VALUE 395,000\r"
428.20-1-10 ,null,0.56,"210,000","FULL MARKET VALUE 210,000\r"
428.20-1-12 ,null,0.50,"95,000","FULL MARKET VALUE 95,000\r"
428.20-1-13 ,null,0.25,"300,000","FULL MARKET VALUE 300,000\r"
428.20-1-14 ,null,0.25,"227,500","FULL MARKET VALUE 227,500\r"
428.20-1-15 ,210 1 Family Res,0.75,"220,000","FULL MARKET VALUE 220,000\r"
428.20-1-16 ,null,0.55,"223,570","FULL MARKET VALUE 223,570\r"
428.20-1-17 ,null,0.24,"130,000","FULL MARKET VALUE 130,000\r"
428.20-1-19 ,210 1 Family Res,0.30,"160,000","FULL MARKET VALUE 160,000\r"
428.20-1-20 ,210 1 Family Res,0.13,"95,000","FULL MARKET VALUE 95,000\r"
428.20-1-21 ,210 1 Family Res,0.25,"100,000","FULL MARKET VALUE 100,000\r"
428.20-1-22 ,210 1 Family Res,0.31,"40,000","FULL MARKET VALUE 40,000\r"
428.20-1-23 ,210 1 Family Res,0.10,"60,000","FULL MARKET VALUE 60,000\r"
428.20-1-24 ,210 1 Family Res,0.39,"210,000","FULL MARKET VALUE 210,000\r"
428.20-1-25 ,210 1 Family Res,0.35,"110,000","FULL MARKET VALUE 110,000\r"
428.20-1-26 ,210 1 Family Res,0.25,"73,000","FULL MARKET VALUE 73,000\r"
428.20-1-27.1 ,210 1 Family Res,null,"85,000","FULL MARKET VALUE 85,000\r"
428.20-1-27.2 ,null,null,"8,000","FULL MARKET VALUE 8,000\r"
428.20-1-28 ,210 1 Family Res,0.21,"115,000","FULL MARKET VALUE 115,000\r"
428.20-1-29 ,210 1 Family Res,0.06,"115,000","FULL MARKET VALUE 115,000\r"
428.20-1-31 ,null,0.40,"150,000","FULL MARKET VALUE 150,000\r"
428.20-1-32.1 ,210 1 Family Res,0.13,"150,000","FULL MARKET VALUE 150,000\r"
428.20-1-32.2 ,null,0.13,"8,000","FULL MARKET VALUE 8,000\r"
428.20-1-33 ,210 1 Family Res,0.25,"30,000","FULL MARKET VALUE 30,000\r"
428.20-1-34 ,210 1 Family Res,0.25,"100,000","FULL MARKET VALUE 100,000\r"
428.20-1-35 ,210 1 Family Res,0.80,"106,000","FULL MARKET VALUE 106,000 AD115 Hancock Ambulance 10,600 TO\r"
428.20-1-36 ,210 1 Family Res,0.25,"100,000","FULL MARKET VALUE 100,000\r"
428.20-1-37 ,210 1 Family Res,0.13,"70,000","FULL MARKET VALUE 70,000\r"
428.20-1-38 ,null,null,"92,500","FULL MARKET VALUE 92,500\r"
428.20-1-39 ,null,null,"30,000","FULL MARKET VALUE 30,000\r"
428.20-1-40 ,null,null,"15,000","FULL MARKET VALUE 15,000\r"
428.20-1-41 ,210 1 Family Res,0.10,"70,000","FULL MARKET VALUE 70,000\r"
428.20-1-42 ,210 1 Family Res - WTRFNT,2.80,"70,000","FULL MARKET VALUE 70,000\r"
428.20-1-44 ,210 1 Family Res,0.13,"50,000","FULL MARKET VALUE 50,000\r"
428.20-1-45.21 ,null,null,"230,000","FULL MARKET VALUE 230,000\r"
428.20-1-46 ,null,1.00,"20,000","FULL MARKET VALUE 20,000\r"
429.13-1-1 ,null,1.22,"10,000","FULL MARKET VALUE 10,000\r"
429.13-1-2 ,null,3.90,"30,000","FULL MARKET VALUE 30,000\r"
429.13-1-3 ,null,1.10,"10,000","FULL MARKET VALUE 10,000\r"
429.13-1-4 ,null,0.81,"25,000","FULL MARKET VALUE 25,000\r"
429.13-1-6 ,210 1 Family Res,2.50,"425,000","FULL MARKET VALUE 425,000 AD115 Hancock Ambulance 42,500 TO\r"
429.13-2-3.1 ,null,0.71,"25,000","FULL MARKET VALUE 25,000\r"
429.13-2-3.2 ,null,1.49,"30,000","FULL MARKET VALUE 30,000\r"
429.13-2-5 ,210 1 Family Res,0.25,"130,000","FULL MARKET VALUE 130,000\r"
429.13-2-6 ,210 1 Family Res,0.13,"138,000","FULL MARKET VALUE 138,000\r"
429.13-2-7 ,210 1 Family Res,0.50,"365,000","FULL MARKET VALUE 365,000\r"
429.13-2-8 ,null,0.25,"230,000","FULL MARKET VALUE 230,000\r"
429.13-2-9 ,210 1 Family Res,0.75,"131,250","FULL MARKET VALUE 131,250\r"
429.13-2-10 ,210 1 Family Res,null,"120,000","FULL MARKET VALUE 120,000\r"
429.13-2-11.1 ,null,0.24,"15,000","FULL MARKET VALUE 15,000\r"
429.13-2-11.2 ,null,0.18,"15,000","FULL MARKET VALUE 15,000\r"
429.13-2-12 ,210 1 Family Res,0.25,"200,000","FULL MARKET VALUE 200,000\r"
429.13-2-13 ,210 1 Family Res,0.25,"140,000","FULL MARKET VALUE 140,000\r"
429.13-2-14 ,null,0.20,"128,000","FULL MARKET VALUE 128,000\r"
429.13-2-15 ,210 1 Family Res,0.33,"103,730","FULL MARKET VALUE 103,730\r"
429.13-2-16 ,210 1 Family Res,null,"253,000","FULL MARKET VALUE 253,000\r"
429.13-2-18 ,210 1 Family Res,0.25,"150,000","FULL MARKET VALUE 150,000\r"
429.13-2-19 ,210 1 Family Res,0.25,"130,000","FULL MARKET VALUE 130,000\r"
429.13-2-21 ,210 1 Family Res,1.50,"175,840","FULL MARKET VALUE 175,840\r"
429.13-2-22 ,210 1 Family Res,0.25,"100,000","FULL MARKET VALUE 100,000\r"
429.13-2-23 ,210 1 Family Res,0.40,"210,000","FULL MARKET VALUE 210,000\r"
429.13-2-27 ,210 1 Family Res,0.50,"150,000","FULL MARKET VALUE 150,000\r"
429.13-2-30 ,null,0.25,"620,000","FULL MARKET VALUE 620,000\r"
429.13-2-31 ,null,0.13,"59,570","FULL MARKET VALUE 59,570\r"
429.13-2-32 ,null,0.06,"1100,000","FULL MARKET VALUE 1100,000\r"
429.13-2-33 ,null,0.13,"5,000","FULL MARKET VALUE 5,000\r"
429.13-2-34 ,null,0.25,"147,960","FULL MARKET VALUE 147,960\r"
429.13-2-36 ,null,0.20,"375,000","FULL MARKET VALUE 375,000\r"
429.13-2-37 ,null,0.16,"120,000","FULL MARKET VALUE 120,000\r"
429.13-2-38 ,210 1 Family Res,0.17,"215,000","FULL MARKET VALUE 215,000\r"
429.13-2-39 ,210 1 Family Res,0.25,"150,000","FULL MARKET VALUE 150,000\r"
429.13-2-40 ,210 1 Family Res,0.13,"198,000","FULL MARKET VALUE 198,000\r"
429.13-2-42 ,210 1 Family Res,0.25,"143,000","FULL MARKET VALUE 143,000\r"
429.13-2-43 ,210 1 Family Res,0.33,"185,000","FULL MARKET VALUE 185,000\r"
429.13-2-44 ,210 1 Family Res,0.25,"200,000","FULL MARKET VALUE 200,000\r"
429.13-2-45.1 ,210 1 Family Res,0.25,"245,000","FULL MARKET VALUE 245,000\r"
429.13-2-46 ,210 1 Family Res,0.33,"275,000","FULL MARKET VALUE 275,000\r"
429.13-2-47 ,210 1 Family Res,0.25,"80,000","FULL MARKET VALUE 80,000\r"
429.13-2-48 ,210 1 Family Res,null,"170,000","FULL MARKET VALUE 170,000\r"
429.13-2-49 ,210 1 Family Res,0.25,"99,000","FULL MARKET VALUE 99,000\r"
429.13-2-50 ,null,0.25,"35,000","FULL MARKET VALUE 35,000\r"
429.13-2-51 ,null,1.30,"306,250","FULL MARKET VALUE 306,250\r"
429.13-2-52 ,210 1 Family Res,0.50,"129,000","FULL MARKET VALUE 129,000\r"
429.13-2-53 ,210 1 Family Res,0.33,"150,000","FULL MARKET VALUE 150,000\r"
429.13-3-1 ,210 1 Family Res,null,"300,000","FULL MARKET VALUE 300,000\r"
429.13-3-2 ,210 1 Family Res,0.38,"150,000","FULL MARKET VALUE 150,000\r"
429.13-3-3 ,210 1 Family Res,0.18,"200,000","FULL MARKET VALUE 200,000\r"
429.13-3-4 ,null,0.25,"215,000","FULL MARKET VALUE 215,000\r"
429.13-3-5 ,null,null,"10,000","FULL MARKET VALUE 10,000\r"
429.13-3-6 ,210 1 Family Res,0.25,"180,000","FULL MARKET VALUE 180,000\r"
429.13-3-7 ,210 1 Family Res,0.25,"155,000","FULL MARKET VALUE 155,000\r"
429.13-3-8 ,210 1 Family Res,0.13,"145,000","FULL MARKET VALUE 145,000\r"
429.13-3-9 ,null,0.25,"184,000","FULL MARKET VALUE 184,000\r"
429.13-3-11 ,null,0.25,"15,000","FULL MARKET VALUE 15,000\r"
429.13-3-12 ,210 1 Family Res,0.50,"145,000","FULL MARKET VALUE 145,000\r"
429.13-3-13 ,210 1 Family Res,null,"90,000","FULL MARKET VALUE 90,000\r"
429.13-3-14 ,210 1 Family Res,0.25,"158,000","FULL MARKET VALUE 158,000\r"
429.13-3-15 ,null,0.22,"30,000","FULL MARKET VALUE 30,000\r"
429.13-3-16 ,null,null,"909,270","FULL MARKET VALUE 909,270\r"
429.13-3-17 ,null,0.13,"89,930","FULL MARKET VALUE 89,930\r"
429.13-3-18 ,null,0.13,"290,000","FULL MARKET VALUE 290,000\r"
429.13-3-19 ,null,0.20,"95,000","FULL MARKET VALUE 95,000\r"
429.13-3-20 ,null,0.13,"12,000","FULL MARKET VALUE 12,000\r"
429.13-3-21 ,null,null,"40,000","FULL MARKET VALUE 40,000\r"
429.13-3-22 ,210 1 Family Res,0.25,"125,000","FULL MARKET VALUE 125,000\r"
429.13-3-23 ,210 1 Family Res,0.20,"210,000","FULL MARKET VALUE 210,000\r"
429.13-3-24 ,null,0.20,"88,000","FULL MARKET VALUE 88,000\r"
429.13-3-25 ,210 1 Family Res,0.13,"169,000","FULL MARKET VALUE 169,000\r"
429.13-3-26 ,210 1 Family Res,0.13,"105,000","FULL MARKET VALUE 105,000\r"
429.13-3-27 ,210 1 Family Res,0.25,"88,550","FULL MARKET VALUE 88,550\r"
429.13-3-28 ,210 1 Family Res,0.25,"80,000","FULL MARKET VALUE 80,000\r"
429.13-3-29 ,210 1 Family Res,0.50,"120,000","FULL MARKET VALUE 120,000\r"
429.13-3-30 ,210 1 Family Res,0.17,"148,000","FULL MARKET VALUE 148,000\r"
429.13-3-31 ,210 1 Family Res,0.13,"149,000","FULL MARKET VALUE 149,000\r"
429.13-3-32 ,210 1 Family Res,0.13,"150,000","FULL MARKET VALUE 150,000\r"
429.13-4-1 ,null,0.75,"164,450","FULL MARKET VALUE 164,450\r"
429.13-4-2 ,210 1 Family Res,0.25,"250,000","FULL MARKET VALUE 250,000\r"
429.13-4-4.1 ,210 1 Family Res,null,"220,000","FULL MARKET VALUE 220,000\r"
429.13-4-4.2 ,210 1 Family Res,null,"250,000","FULL MARKET VALUE 250,000\r"
429.13-4-5 ,210 1 Family Res,0.25,"160,000","FULL MARKET VALUE 160,000\r"
429.13-4-6 ,null,0.22,"15,500","FULL MARKET VALUE 15,500\r"
429.13-4-7 ,210 1 Family Res,0.26,"152,000","FULL MARKET VALUE 152,000\r"
429.13-4-8 ,210 1 Family Res,0.25,"260,000","FULL MARKET VALUE 260,000\r"
429.13-4-9 ,210 1 Family Res,0.45,"260,000","FULL MARKET VALUE 260,000\r"
429.13-4-10 ,210 1 Family Res,0.75,"188,000","FULL MARKET VALUE 188,000\r"
429.13-4-11 ,210 1 Family Res,0.25,"85,000","FULL MARKET VALUE 85,000\r"
429.13-4-12 ,210 1 Family Res,0.25,"170,000","FULL MARKET VALUE 170,000\r"
429.13-4-13 ,null,0.62,"185,000","FULL MARKET VALUE 185,000\r"
429.13-4-14.1 ,210 1 Family Res,0.13,"85,000","FULL MARKET VALUE 85,000\r"
429.13-4-14.2 ,null,null,"115,000","FULL MARKET VALUE 115,000\r"
429.13-4-15 ,null,0.25,"130,000","FULL MARKET VALUE 130,000\r"
429.13-4-16 ,null,0.25,"180,000","FULL MARKET VALUE 180,000\r"
429.13-4-17 ,210 1 Family Res,0.20,"190,000","FULL MARKET VALUE 190,000\r"
429.13-4-18 ,210 1 Family Res,0.50,"240,000","FULL MARKET VALUE 240,000\r"
429.13-4-19 ,210 1 Family Res,0.25,"140,000","FULL MARKET VALUE 140,000\r"
429.13-4-20 ,210 1 Family Res,1.30,"189,000","FULL MARKET VALUE 189,000\r"
429.13-4-21 ,210 1 Family Res,0.13,"110,000","FULL MARKET VALUE 110,000\r"
429.13-4-22 ,210 1 Family Res,0.17,"168,000","FULL MARKET VALUE 168,000\r"
429.13-4-23 ,210 1 Family Res,0.25,"210,000","FULL MARKET VALUE 210,000\r"
429.13-4-24 ,210 1 Family Res,0.25,"151,800","FULL MARKET VALUE 151,800\r"
429.13-4-25 ,210 1 Family Res,0.38,"150,000","FULL MARKET VALUE 150,000\r"
429.13-4-26 ,210 1 Family Res,null,"215,000","FULL MARKET VALUE 215,000\r"
429.13-4-27 ,210 1 Family Res,0.25,"113,850","FULL MARKET VALUE 113,850\r"
429.13-4-28 ,null,0.13,"18,000","FULL MARKET VALUE 18,000\r"
429.13-4-29 ,210 1 Family Res,0.13,"130,000","FULL MARKET VALUE 130,000\r"
429.13-4-30 ,210 1 Family Res,0.50,"150,000","FULL MARKET VALUE 150,000\r"
429.13-4-31 ,210 1 Family Res,0.25,"135,000","FULL MARKET VALUE 135,000\r"
429.13-4-32 ,210 1 Family Res,0.25,"160,000","FULL MARKET VALUE 160,000\r"
429.13-4-33 ,210 1 Family Res,0.25,"187,350","FULL MARKET VALUE 187,350\r"
429.13-4-34 ,210 1 Family Res,0.13,"260,000","FULL MARKET VALUE 260,000\r"
429.13-4-35 ,210 1 Family Res,0.25,"155,000","FULL MARKET VALUE 155,000\r"
429.13-4-36 ,210 1 Family Res,0.21,"106,250","DEED BOOK 1652 PG-281 FULL MARKET VALUE 106,250\r"
429.13-4-37 ,210 1 Family Res,0.28,"175,000","FULL MARKET VALUE 175,000\r"
429.13-4-38 ,null,0.16,"18,000","FULL MARKET VALUE 18,000\r"
429.13-4-39 ,210 1 Family Res,0.33,"190,000","FULL MARKET VALUE 190,000\r"
429.13-5-1 ,210 1 Family Res,0.13,"125,000","FULL MARKET VALUE 125,000\r"
429.13-5-2 ,210 1 Family Res,1.00,"140,000","FULL MARKET VALUE 140,000\r"
429.13-5-3 ,210 1 Family Res,0.25,"80,000","FULL MARKET VALUE 80,000 AD115 Hancock Ambulance 8,000 TO\r"
429.13-5-4 ,210 1 Family Res,0.25,"139,500","FULL MARKET VALUE 139,500\r"
429.13-5-5 ,210 1 Family Res,0.25,"93,750","FULL MARKET VALUE 93,750\r"
429.13-5-6 ,210 1 Family Res,0.25,"89,000","FULL MARKET VALUE 89,000\r"
429.13-5-8 ,210 1 Family Res,0.50,"135,000","FULL MARKET VALUE 135,000\r"
429.13-5-10 ,210 1 Family Res,0.30,"103,100","FULL MARKET VALUE 103,100\r"
429.13-5-11 ,210 1 Family Res,0.25,"158,000","FULL MARKET VALUE 158,000\r"
429.13-5-12 ,210 1 Family Res,0.18,"125,000","FULL MARKET VALUE 125,000\r"
429.13-5-13 ,210 1 Family Res,0.13,"205,000","FULL MARKET VALUE 205,000 AD115 Hancock Ambulance 20,500 TO\r"
429.13-5-14 ,null,0.50,"69,580","FULL MARKET VALUE 69,580\r"
429.13-5-15 ,210 1 Family Res,0.29,"151,800","FULL MARKET VALUE 151,800\r"
429.13-5-16 ,210 1 Family Res,0.50,"285,000","FULL MARKET VALUE 285,000\r"
429.13-5-17 ,210 1 Family Res,0.25,"149,000","FULL MARKET VALUE 149,000\r"
429.13-5-18 ,210 1 Family Res,0.13,"150,000","FULL MARKET VALUE 150,000\r"
429.13-5-19 ,null,0.13,"13,000","FULL MARKET VALUE 13,000\r"
429.13-5-20 ,210 1 Family Res,0.25,"195,000","FULL MARKET VALUE 195,000\r"
429.13-5-21 ,210 1 Family Res,0.25,"119,000","FULL MARKET VALUE 119,000\r"
429.13-5-22 ,210 1 Family Res,0.40,"99,000","FULL MARKET VALUE 99,000\r"
429.13-5-23 ,210 1 Family Res,0.25,"130,000","FULL MARKET VALUE 130,000\r"
429.13-5-24.11 ,210 1 Family Res,0.17,"200,000","FULL MARKET VALUE 200,000\r"
429.13-5-24.12 ,null,0.22,"175,000","FULL MARKET VALUE 175,000\r"
429.13-5-24.2 ,null,0.17,"15,000","FULL MARKET VALUE 15,000\r"
429.13-5-25.1 ,210 1 Family Res,1.30,"140,000","FULL MARKET VALUE 140,000\r"
429.13-5-25.2 ,null,0.25,"15,000","FULL MARKET VALUE 15,000\r"
429.13-5-26 ,210 1 Family Res,0.75,"164,000","FULL MARKET VALUE 164,000\r"
429.14-1-2 ,null,0.70,"10,000","FULL MARKET VALUE 10,000\r"
429.14-1-4 ,null,34.70,"89,000","FULL MARKET VALUE 89,000\r"
429.17-1-2 ,210 1 Family Res,0.19,"100,000","FULL MARKET VALUE 100,000\r"
429.17-1-3 ,210 1 Family Res,0.13,"68,500","FULL MARKET VALUE 68,500\r"
429.17-1-4 ,210 1 Family Res,0.11,"90,000","FULL MARKET VALUE 90,000\r"
429.17-1-5 ,210 1 Family Res,0.13,"80,000","FULL MARKET VALUE 80,000\r"
429.17-1-6 ,210 1 Family Res,0.13,"82,000","FULL MARKET VALUE 82,000\r"
429.17-1-7 ,210 1 Family Res,0.06,"155,000","FULL MARKET VALUE 155,000\r"
429.17-1-8 ,210 1 Family Res,null,"75,000","FULL MARKET VALUE 75,000\r"
429.17-1-9 ,210 1 Family Res,0.25,"155,000","FULL MARKET VALUE 155,000\r"
429.17-1-10 ,210 1 Family Res,0.23,"180,000","FULL MARKET VALUE 180,000\r"
429.17-1-11 ,null,0.70,"1550,000","FULL MARKET VALUE 1550,000\r"
429.17-1-12 ,null,0.50,"140,000","FULL MARKET VALUE 140,000\r"
429.17-1-13 ,null,0.25,"80,000","FULL MARKET VALUE 80,000\r"
429.17-1-14 ,null,0.13,"210,000","FULL MARKET VALUE 210,000\r"
429.17-1-15 ,null,0.33,"546,700","FULL MARKET VALUE 546,700\r"
429.17-1-16.1 ,null,null,"200,000","FULL MARKET VALUE 200,000\r"
429.17-1-16.2 ,null,0.13,"220,000","FULL MARKET VALUE 220,000\r"
429.17-1-16.3 ,null,null,"95,000","FULL MARKET VALUE 95,000\r"
429.17-1-16.4 ,null,null,"80,000","FULL MARKET VALUE 80,000\r"
429.17-1-17 ,null,0.19,"48,000","FULL MARKET VALUE 48,000\r"
429.17-1-18.1 ,null,0.25,"183,500","FULL MARKET VALUE 183,500\r"
429.17-1-19 ,null,0.06,"19,500","FULL MARKET VALUE 19,500\r"
429.17-1-20 ,null,0.06,"15,000","FULL MARKET VALUE 15,000\r"
429.17-1-21 ,null,0.09,"230,000","DEED BOOK 1181 PG-174 FULL MARKET VALUE 230,000\r"
429.17-1-22 ,null,0.25,"120,000","FULL MARKET VALUE 120,000\r"
429.17-2-3 ,null,0.11,"60,000","FULL MARKET VALUE 60,000\r"
429.17-2-4 ,null,0.13,"500,000","FULL MARKET VALUE 500,000\r"
429.17-2-5 ,null,0.06,"22,000","FULL MARKET VALUE 22,000\r"
429.17-2-8.1 ,null,null,"15,000","FULL MARKET VALUE 15,000\r"
429.17-2-8.2 ,null,null,"450,000","FULL MARKET VALUE 450,000\r"
429.17-2-9 ,null,0.25,"203,500","FULL MARKET VALUE 203,500\r"
429.17-2-10 ,null,0.25,"192,280","FULL MARKET VALUE 192,280\r"
429.17-2-12.3 ,null,null,"341,550","FULL MARKET VALUE 341,550\r"
429.17-2-12.4 ,null,0.25,"40,000","DEED BOOK 1540 PG-40 FULL MARKET VALUE 40,000\r"
429.17-2-13 ,null,0.13,"70,000","FULL MARKET VALUE 70,000\r"
429.17-2-15 ,210 1 Family Res,0.13,"120,000","FULL MARKET VALUE 120,000\r"
429.17-2-16 ,210 1 Family Res,null,"115,000","FULL MARKET VALUE 115,000\r"
429.17-2-18 ,null,0.95,"1159,020","FULL MARKET VALUE 1159,020\r"
429.17-2-19 ,null,0.13,"138,000","FULL MARKET VALUE 138,000\r"
429.17-2-20 ,210 1 Family Res,0.25,"90,000","FULL MARKET VALUE 90,000\r"
429.17-2-21 ,210 1 Family Res,0.13,"100,000","FULL MARKET VALUE 100,000\r"
429.17-2-22 ,210 1 Family Res,0.13,"148,000","FULL MARKET VALUE 148,000\r"
429.17-2-23 ,null,0.13,"106,250","FULL MARKET VALUE 106,250\r"
429.17-2-24 ,null,null,"300,000","FULL MARKET VALUE 300,000\r"
429.17-2-25 ,null,0.06,"80,000","FULL MARKET VALUE 80,000\r"
429.17-2-26 ,210 1 Family Res,null,"70,000","FULL MARKET VALUE 70,000\r"
429.17-2-27 ,null,0.25,"125,000","FULL MARKET VALUE 125,000\r"
429.17-2-28 ,null,0.13,"19,000","FULL MARKET VALUE 19,000\r"
429.17-2-29 ,210 1 Family Res,0.25,"115,000","FULL MARKET VALUE 115,000\r"
429.17-2-30 ,210 1 Family Res,0.25,"49,320","FULL MARKET VALUE 49,320\r"
429.17-2-31 ,null,0.25,"110,000","FULL MARKET VALUE 110,000\r"
429.17-2-32 ,210 1 Family Res,0.13,"115,000","FULL MARKET VALUE 115,000\r"
429.17-2-33 ,210 1 Family Res,0.13,"120,000","FULL MARKET VALUE 120,000\r"
429.17-2-34 ,210 1 Family Res,0.13,"115,000","FULL MARKET VALUE 115,000\r"
429.17-2-35 ,null,0.25,"135,000","FULL MARKET VALUE 135,000\r"
429.17-2-36 ,null,0.25,"125,000","FULL MARKET VALUE 125,000\r"
429.17-2-37 ,210 1 Family Res,0.13,"140,000","FULL MARKET VALUE 140,000\r"
429.17-2-38 ,210 1 Family Res,0.13,"110,000","FULL MARKET VALUE 110,000\r"
429.17-2-39 ,210 1 Family Res,0.13,"100,000","DEED BOOK 1466 PG-13 FULL MARKET VALUE 100,000\r"
429.17-2-40 ,null,0.25,"108,000","FULL MARKET VALUE 108,000\r"
429.17-2-41 ,210 1 Family Res,0.13,"90,000","FULL MARKET VALUE 90,000\r"
429.17-2-42 ,210 1 Family Res,0.13,"72,000","FULL MARKET VALUE 72,000\r"
429.17-2-43 ,210 1 Family Res,0.13,"235,000","FULL MARKET VALUE 235,000\r"
429.17-2-44 ,210 1 Family Res,0.50,"195,000","FULL MARKET VALUE 195,000\r"
429.17-2-45 ,210 1 Family Res,0.15,"100,000","FULL MARKET VALUE 100,000\r"
429.17-2-46 ,210 1 Family Res,null,"18,000","FULL MARKET VALUE 18,000\r"
429.17-2-47 ,210 1 Family Res,0.13,"115,000","FULL MARKET VALUE 115,000\r"
429.17-2-48 ,null,0.13,"24,000","FULL MARKET VALUE 24,000\r"
429.17-2-49 ,null,0.13,"250,000","FULL MARKET VALUE 250,000\r"
429.17-2-50.1 ,null,null,"1,000","FULL MARKET VALUE 1,000\r"
429.17-2-50.2 ,210 1 Family Res - WTRFNT,0.24,"100,000","FULL MARKET VALUE 100,000\r"
429.17-2-53 ,null,0.63,"240,000","FULL MARKET VALUE 240,000\r"
429.17-2-54 ,null,0.06,"10,000","FULL MARKET VALUE 10,000\r"
429.17-2-55 ,null,0.30,"250,000","DEED BOOK 1241 PG-166 FULL MARKET VALUE 250,000\r"
429.17-2-56 ,null,0.07,"108,300","FULL MARKET VALUE 108,300\r"
429.17-2-57 ,210 1 Family Res,0.06,"56,320","FULL MARKET VALUE 56,320\r"
429.17-2-58 ,210 1 Family Res,0.13,"75,900","FULL MARKET VALUE 75,900\r"
